g,type,rco,ti,at,n0,p,a,r1,theta,v
0,best,10000.0,0.0,0.0,1.35,2.81249995169e-05,1.5,934.14,3.14151765359,1.3187859466e-05
0,mean,10000.0,0.0,0.0,1.35,2.81249995169e-05,1.5,934.14,3.14151765359,1.3187859466e-05
1,best,9990.00075,0.0,0.0,1.35,2.81531501969e-05,1.5,934.14,3.14151757852,1.32010593671e-05
1,mean,9999.01241975,9.25925925926e-05,0.0,1.35,2.8127779831e-05,1.49981481481,934.14,3.14151763691,1.31903293463e-05
2,best,9990.00075,0.0015,0.0,1.35,2.81531501969e-05,1.497,934.14,3.14151742807,1.32199846041e-05
2,mean,9997.19533232,0.000182926829268,0.0,1.35,2.81328954393e-05,1.49963414634,934.14,3.14151761422,1.31938666703e-05
3,best,9980.0015,0.0015,0.0,1.35,2.81813590846e-05,1.497,934.14,3.1415173527,1.32332307615e-05
3,mean,9994.68394304,0.000408227848101,0.0,1.35,2.81399686484e-05,1.4991835443,934.14,3.14151757278,1.32000235377e-05
4,best,9980.0015,0.0015,0.0,1.35,2.81813590846e-05,1.497,934.14,3.1415173527,1.32332307615e-05
4,mean,9991.95182317,0.000585365853659,0.0,1.35,2.81476616404e-05,1.49882926829,934.14,3.1415175345,1.32058651997e-05
5,best,9980.0015,0.00225,0.0,1.35,2.81813590846e-05,1.4955,934.14,3.14151727717,1.3242724076e-05
5,mean,9989.48130844,0.000701298701299,0.0,1.35,2.81546261296e-05,1.4985974026,934.14,3.14151750428,1.32105971057e-05
6,best,9980.0015,0.00225,0.0,1.35,2.81813590846e-05,1.4955,934.14,3.14151727717,1.3242724076e-05
6,mean,9984.60641776,0.000927631578947,0.0,1.35,2.81683732713e-05,1.49814473684,934.14,3.14151744486,1.32199050199e-05
7,best,9970.00225,0.003,0.0,1.35,2.82096225419e-05,1.494,934.14,3.14151712582,1.32655224129e-05
7,mean,9981.87635938,0.001115625,0.0,1.35,2.81760809685e-05,1.49776875,934.14,3.14151740539,1.32258983544e-05
8,best,9970.00225,0.00375,0.0,1.35,2.82096225419e-05,1.4925,934.14,3.14151704991,1.32750536763e-05
8,mean,9978.10290823,0.00135759493671,0.0,1.35,2.81867381125e-05,1.49728481013,934.14,3.14151735257,1.32339632233e-05
9,best,9960.003,0.00375,0.0,1.35,2.82379423879e-05,1.4925,934.14,3.14151697401,1.32883805996e-05
9,mean,9974.75799085,0.00171036585366,0.0,1.35,2.81961930984e-05,1.49657926829,934.14,3.14151729179,1.32428674927e-05
10,best,9950.00375,0.00225,0.0,1.35,2.82663204416e-05,1.4955,934.14,3.14151704992,1.32826483326e-05
10,mean,9971.28420513,0.00175961538462,0.0,1.35,2.82060171183e-05,1.49648076923,934.14,3.14151726057,1.32481042172e-05
11,best,9960.003,0.00375,0.0,1.35,2.82379423879e-05,1.4925,934.14,3.14151697401,1.32883805996e-05
11,mean,9970.51503205,0.00222115384615,0.0,1.35,2.8208195568e-05,1.49555769231,934.14,3.14151720822,1.32549759245e-05
12,best,9950.00375,0.00375,0.0,1.35,2.82663204416e-05,1.4925,934.14,3.14151689796,1.33017349146e-05
12,mean,9965.5707642,0.00241193181818,0.0,1.35,2.82221857436e-05,1.49517613636,934.14,3.1415171515,1.32639744796e-05
13,best,9950.00375,0.0045,0.0,1.35,2.82663204416e-05,1.491,934.14,3.14151682174,1.33112996238e-05
13,mean,9960.61271037,0.00274390243902,0.0,1.35,2.82362346009e-05,1.49451219512,934.14,3.14151708039,1.32747902781e-05
14,best,9940.0045,0.00375,0.0,1.35,2.8294756703e-05,1.4925,934.14,3.14151682175,1.33151166214e-05
14,mean,9956.70779261,0.00311079545455,0.0,1.35,2.82473015225e-05,1.49377840909,934.14,3.14151701363,1.32846580891e-05
15,best,9950.00375,0.006,0.0,1.35,2.82663204416e-05,1.488,934.14,3.14151666886,1.33304720345e-05
15,mean,9953.80093354,0.00349367088608,0.0,1.35,2.82555549716e-05,1.49301265823,934.14,3.1415169527,1.32934140954e-05
16,best,9940.0045,0.006,0.0,1.35,2.8294756703e-05,1.488,934.14,3.14151659242,1.33438826511e-05
16,mean,9951.15308908,0.004,0.0,1.35,2.82630798388e-05,1.492,934.14,3.14151688112,1.3303408792e-05
17,best,9940.0045,0.006,0.0,1.35,2.8294756703e-05,1.488,934.14,3.14151659242,1.33438826511e-05
17,mean,9949.39403963,0.00453658536585,0.0,1.35,2.82680775188e-05,1.49092682927,934.14,3.14151681318,1.33126049176e-05
18,best,9930.00525,0.006,0.0,1.35,2.8323247534e-05,1.488,934.14,3.14151651583,1.33573190029e-05
18,mean,9945.66197039,0.00502302631579,0.0,1.35,2.82786827484e-05,1.48995394737,934.14,3.14151673517,1.33238163194e-05
19,best,9920.006,0.006,0.0,1.35,2.83517983917e-05,1.488,934.14,3.14151643908,1.33707836635e-05
19,mean,9942.62335119,0.005625,0.0,1.35,2.82873216704e-05,1.48875,934.14,3.14151665059,1.33355843742e-05
20,best,9930.00525,0.0075,0.0,1.35,2.8323247534e-05,1.485,934.14,3.14151636201,1.33765876738e-05
20,mean,9939.65158529,0.006,0.0,1.35,2.8295785823e-05,1.488,934.14,3.14151658956,1.33443755422e-05
21,best,9920.006,0.0075,0.0,1.35,2.83517983917e-05,1.485,934.14,3.14151628511,1.33900717578e-05
21,mean,9935.06369412,0.00647647058824,0.0,1.35,2.83088507893e-05,1.48704705882,934.14,3.1415165057,1.33566458774e-05
22,best,9920.006,0.00825,0.0,1.35,2.83517983917e-05,1.4835,934.14,3.14151620789,1.33997375237e-05
22,mean,9931.28720513,0.00643269230769,0.0,1.35,2.83196108145e-05,1.48713461538,934.14,3.14151648121,1.33611638702e-05
23,best,9910.00675,0.0075,0.0,1.35,2.8380403819e-05,1.485,934.14,3.14151620806,1.34035816142e-05
23,mean,9929.37238608,0.00674050632911,0.0,1.35,2.83250694706e-05,1.48651898734,934.14,3.14151643498,1.33676918315e-05
